SysOrderId,InstrumentId,UserId,FrontId,Timestamp,LocalTime,InsertLocalTime,Buy,OrderPrice,OrderVol,FirstTradeLocalTime,LastTradeLocalTime,TradeVol,AverageTradePrice,Tick2Trade,Tick2Recv,Order2Ack,Order2FrontAck
10114612#36452,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617120776','20221201 11:23:27.617129539',0,240.377000,90,'','',0,0.000000,8763,562,3294836,-1
10114613#36453,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617259264','20221201 11:23:27.617269087',0,240.377000,90,'','',0,0.000000,9823,639,3248667,-1
10114614#36454,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617316387','20221201 11:23:27.617325374',0,240.377000,90,'','',0,0.000000,8987,465,3259706,-1
10114615#36455,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617427844','20221201 11:23:27.617437043',0,240.377000,90,'','',0,0.000000,9199,543,3326997,-1
10114616#36456,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617476053','20221201 11:23:27.617484889',0,240.377000,10,'','',0,0.000000,8836,576,3303504,-1
10114617#36457,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.619145553','20221201 11:23:27.619154758',0,240.377000,50,'','',0,0.000000,9205,528,3294615,-1
10114618#36458,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.620460743','20221201 11:23:27.620470144',0,240.377000,50,'','',0,0.000000,9401,680,3469096,-1
10114643#36461,123057.SZ,Oes000000000,-1,'11:23:30.810','20221201 11:23:27.898066304','20221201 11:23:27.898079189',0,240.487000,20,'','',0,0.000000,12885,679,3491401,-1
10114644#36462,123057.SZ,Oes000000000,-1,'11:23:30.810','20221201 11:23:27.899182328','20221201 11:23:27.899192455',0,240.488000,20,'','',0,0.000000,10127,655,3522686,-1
10114645#36463,123057.SZ,Oes000000000,-1,'11:23:30.810','20221201 11:23:27.899429762','20221201 11:23:27.899439521',0,240.489000,20,'','',0,0.000000,9759,484,3320606,-1
10114651#36465,123057.SZ,Oes000000000,-1,'11:23:31.590','20221201 11:23:28.676662626','20221201 11:23:28.676684388',0,240.554000,120,'','',0,0.000000,21762,556,3260337,-1
10114652#36466,123057.SZ,Oes000000000,-1,'11:23:31.590','20221201 11:23:28.680666497','20221201 11:23:28.680677509',0,240.554000,100,'','',0,0.000000,11012,534,3334903,-1
10114653#36467,123057.SZ,Oes000000000,-1,'11:23:31.590','20221201 11:23:28.680696986','20221201 11:23:28.680709022',0,240.554000,100,'','',0,0.000000,12036,659,3336933,-1
10114659#36469,123057.SZ,Oes000000000,-1,'11:23:32.990','20221201 11:23:30.082024920','20221201 11:23:30.082046135',0,240.765000,180,'','',0,0.000000,21215,589,3616508,-1
10114660#36470,123057.SZ,Oes000000000,-1,'11:23:32.990','20221201 11:23:30.082125963','20221201 11:23:30.082147157',0,240.797000,180,'','',0,0.000000,21194,648,3548430,-1
10114671#36475,123057.SZ,Oes000000000,-1,'11:23:36.660','20221201 11:23:33.750742373','20221201 11:23:33.750764879',0,240.611000,120,'20221201 11:23:33.754439482','20221201 11:23:33.754439482',120,240.611000,22506,466,3641717,-1
10114672#36476,123057.SZ,Oes000000000,-1,'11:23:36.910','20221201 11:23:33.995226981','20221201 11:23:33.995239920',0,240.611000,20,'20221201 11:23:33.998715502','20221201 11:23:33.998715502',20,240.611000,12939,669,3437208,-1
10114675#36478,123057.SZ,Oes000000000,-1,'11:23:38.670','20221201 11:23:35.759182036','20221201 11:23:35.759198475',0,240.598000,220,'20221201 11:23:35.762574058','20221201 11:23:35.762574058',220,240.598000,16439,669,3334162,-1
10114676#36479,123057.SZ,Oes000000000,-1,'11:23:38.680','20221201 11:23:35.763192814','20221201 11:23:35.763204419',0,240.585000,40,'20221201 11:23:35.766459833','20221201 11:23:35.766459833',40,240.588000,11605,679,3204190,-1
10114677#36480,123057.SZ,Oes000000000,-1,'11:23:38.680','20221201 11:23:35.764052190','20221201 11:23:35.764061920',0,240.588000,40,'20221201 11:23:35.767578508','20221201 11:23:35.767578508',40,240.588000,9730,512,3445961,-1
10114678#36481,123057.SZ,Oes000000000,-1,'11:23:38.680','20221201 11:23:35.769022836','20221201 11:23:35.769034037',0,240.603000,20,'','',0,0.000000,11201,534,3393230,-1
10114684#36484,123057.SZ,Oes000000000,-1,'11:23:39.290','20221201 11:23:36.374413782','20221201 11:23:36.374425191',0,240.552000,170,'20221201 11:23:36.377874443','20221201 11:23:36.381823063',170,240.552000,11409,472,3412567,-1
10114685#36485,123057.SZ,Oes000000000,-1,'11:23:39.290','20221201 11:23:36.378275249','20221201 11:23:36.378285451',0,240.552000,160,'20221201 11:23:36.381823332','20221201 11:23:36.381870628',160,240.552000,10202,492,3409302,-1
10114686#36486,123057.SZ,Oes000000000,-1,'11:23:39.290','20221201 11:23:36.378296911','20221201 11:23:36.378307223',0,240.552000,90,'20221201 11:23:36.381870784','20221201 11:23:36.381895702',90,240.552000,10312,723,3432030,-1
